business_name,search_category,primary_category,all_categories,pincode,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Rutik Kirana,Kirana Store,Dairy store,Dairy store,442107,+91 89836 59689,N/A,,,"Shop No 1, Sawangi Rd, Meghe, Sawangi, Maharashtra 442107",Meghe,20.7170316,78.5706859,ChIJ1Tbs3IB_1DsRcPwELwHqVwc,https://www.google.com/maps/place/?q=place_id:ChIJ1Tbs3IB_1DsRcPwELwHqVwc,part_074,2026-09-19 05:52:57,1
WhatsApp general shop,Kirana Store,Stationery store,Stationery store,442107,N/A,N/A,4.5,2.0,"Kalawati Complex, Paloti-Wardha Rd, in front of Datta Meghe Institute of Medical Sciences, Sawangi, Maharashtra 442107",442107,20.7162576,78.57405729999999,ChIJIeWEYBJ_1DsRieTA1MyVcig,https://www.google.com/maps/place/?q=place_id:ChIJIeWEYBJ_1DsRieTA1MyVcig,part_074,2026-09-19 05:52:57,2
गुरुकृपा प्रोव्हीजन किराणा व जनरल स्टोर्स,Kirana Store,General store,General store,442107,N/A,N/A,,,"Sawangi, Maharashtra 442107",442107,20.719132899999998,78.57431989999999,ChIJ1SO8HlF_1DsRuzZ0rI_V-R8,https://www.google.com/maps/place/?q=place_id:ChIJ1SO8HlF_1DsRuzZ0rI_V-R8,part_074,2026-09-19 05:52:57,3
श्री एणेश किराणा अॅन्ड जनरल स्टोअर्स,Kirana Store,General store,General store,442107,N/A,N/A,,,"Sawangi, Maharashtra 442107",442107,20.7133802,78.5765076,ChIJoQa4k1d_1DsR5_cGd60XZio,https://www.google.com/maps/place/?q=place_id:ChIJoQa4k1d_1DsR5_cGd60XZio,part_074,2026-09-19 05:52:57,4
The Best Kirana and General Stores,Kirana Store,General store,"General store, Grocery store",442107,+91 40 3583 4728,N/A,4.3,141.0,"11-5-152, 7 & 8, Adams Umbrella Towers, Red Hills, Lakdikapul, Hyderabad, Telangana 500004","Devi Bagh, Red Hills, Lakdikapul",17.395958099999998,78.46375689999999,ChIJBVNQYG-XyzsRqWu7R0PdLSQ,https://www.google.com/maps/place/?q=place_id:ChIJBVNQYG-XyzsRqWu7R0PdLSQ,part_074,2026-09-19 05:52:57,5
Sagar Kirana Store,Kirana Store,General store,"General store, Indian grocery store",442107,+91 62055 19914,N/A,4.9,28.0,"Patna Central School Rd, New Jaganpura, East Lakshmi Nagar, Chowk, Patna, Bihar 800027","New Jaganpura, East Lakshmi Nagar, Chowk",25.5813715,85.15547339999999,ChIJ9T1HIBSn8jkRL7tgPj-bN0s,https://www.google.com/maps/place/?q=place_id:ChIJ9T1HIBSn8jkRL7tgPj-bN0s,part_074,2026-09-19 05:52:57,6
"Kerala Shop , Sawangi, Wardha",Kirana Store,Grocery delivery service,Grocery delivery service,442107,+91 87882 65585,N/A,4.5,15.0,"near Krupadham Convent, behind Saanies Restaurant, Salod, Maharashtra 442107",442107,20.713397399999998,78.5703151,ChIJ4zm0s21_1DsRuJnOFA-Abpo,https://www.google.com/maps/place/?q=place_id:ChIJ4zm0s21_1DsRuJnOFA-Abpo,part_074,2026-09-19 05:52:57,7
Astamangalam Kirana Mart,Kirana Store,Grocery store,Grocery store,442107,+91 99750 51168,N/A,4.0,1.0,"Shop No 1, Master Colony, Sawangi, Maharashtra 442003",Master Colony,20.7260946,78.5843833,ChIJdUu-85N_1DsR35XmZg_xGok,https://www.google.com/maps/place/?q=place_id:ChIJdUu-85N_1DsR35XmZg_xGok,part_074,2026-09-19 05:52:57,8
Bombay Kirana Stores,Kirana Store,Grocery store,Grocery store,442107,+91 98252 95384,N/A,4.0,,"Sindhi Commercial Market, 77/A, Chokha Bazaar, Kalupur, Ahmedabad, Gujarat 380002","Chokha Bazaar, Kalupur",23.0329393,72.5983153,ChIJVVUVJDqEXjkRi5q2QcsLq4A,https://www.google.com/maps/place/?q=place_id:ChIJVVUVJDqEXjkRi5q2QcsLq4A,part_074,2026-09-19 05:52:59,9
KiranaSquare,Kirana Store,Grocery store,Grocery store,442107,+91 80177 73031,N/A,4.3,,"2, Rowland Rd, Rowland Row, Ballygunge, Kolkata, West Bengal 700020","Rowland Row, Ballygunge",22.5364899,88.3559464,ChIJMxjt9DZ3AjoRVDwlnJRhHUw,https://www.google.com/maps/place/?q=place_id:ChIJMxjt9DZ3AjoRVDwlnJRhHUw,part_074,2026-09-19 05:52:59,10
Munna Kirana Store,Kirana Store,General store,General store,442107,N/A,N/A,4.6,,"20, Bishalakshmitala Rd, Naskarpur, Behala, Kolkata, West Bengal 700060","Naskarpur, Behala",22.5097189,88.3148435,ChIJg3rVVwN6AjoRjjcPRHes_MQ,https://www.google.com/maps/place/?q=place_id:ChIJg3rVVwN6AjoRjjcPRHes_MQ,part_074,2026-09-19 05:52:59,11
CHANDAN SUPER MARKET,Kirana Store,Grocery store,"Grocery store, Grocery delivery service",442107,+91 99707 18965,N/A,4.0,,"PLOT NO. GA-3/3, MIDC, G-BLOCK SHAHUNAGAR, CHINCHWAD, PUNE, Pimpri Colony, Pimpri-Chinchwad, Maharashtra 411019","Sarathi Housing Society, Shahunagar, MIDC, Pimpri Colony",18.6575365,73.8069697,ChIJT2lJ-SW4wjsR9nI3xWLN9_o,https://www.google.com/maps/place/?q=place_id:ChIJT2lJ-SW4wjsR9nI3xWLN9_o,part_074,2026-09-19 05:52:59,12
Rhishi Kirana Store,Kirana Store,Grocery store,Grocery store,442107,+91 78283 59207,N/A,4.2,,"B-734, Bahodapur, Anand Nagar, Gwalior, Madhya Pradesh 474012","Bahodapur, Anand Nagar",26.2353801,78.1509811,ChIJ6da8Ql7GdjkRnENN-tvodQU,https://www.google.com/maps/place/?q=place_id:ChIJ6da8Ql7GdjkRnENN-tvodQU,part_074,2026-09-19 05:52:59,13
